ubuntu@ubuntu:~/Module_1/Qn_4$ ps aux
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2 167972  9428 ?        Ss   Feb05   0:02 /sbin/init maybe-ubiquity splash ---
root           2  0.0  0.0      0     0 ?        S    Feb05   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    Feb05   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   Feb05   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   Feb05   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   Feb05   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   Feb05   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   Feb05   0:00 [kworker/0:0H-events_highpri]
root          11  0.0  0.0      0     0 ?        I    Feb05   0:00 [kworker/u4:0-netns]
root          12  0.0  0.0      0     0 ?        I<   Feb05   0:00 [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    Feb05   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    Feb05   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    Feb05   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    Feb05   0:00 [ksoftirqd/0]
root          17  0.0  0.0      0     0 ?        I    Feb05   0:04 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    Feb05   0:00 [migration/0]
root          19  0.0  0.0      0     0 ?        S    Feb05   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    Feb05   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    Feb05   0:00 [cpuhp/1]
root          22  0.0  0.0      0     0 ?        S    Feb05   0:00 [idle_inject/1]

